Title,Authors,Year,Venue,Index,isSigmod,isVLDB,Authors_new,bucket,ToKeep
an associative classifier based on positive and negative rules,"maria-luiza antonie, osmar r. zaïane",2004,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,5390972920f70186a0dfafac,True,False,"m antonie, o zaïane","a, m, o, z",True
discovery of ads web hosts through traffic data analysis,"v. bacarella, f. giannotti, m. nanni, d. pedreschi",2004,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,5390972920f70186a0dfafae,True,False,"v bacarella, f giannotti, m nanni, d pedreschi","b, d, f, g, m, n, p, v",True
cofi approach for mining frequent itemsets revisited,"mohammad el-hajj, osmar r. zaïane",2004,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,5390972920f70186a0dfafad,True,False,"m el-hajj, o zaïane","e, m, o, z",True
horizontal aggregations for building tabular data sets,carlos ordonez,2004,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,5390972920f70186a0dfafa8,True,False,c ordonez,"c, o",True
iterative record linkage for cleaning and integration,"indrajit bhattacharya, lise getoor",2004,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,5390972920f70186a0dfafa5,True,False,"i bhattacharya, l getoor","b, g, i, l",True
privacy-preserving data integration and sharing,"chris clifton, murat kantarcioǧlu, anhai doan, gunther schadow, jaideep vaidya, ahmed elmagarmid, dan suciu",2004,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,5390972920f70186a0dfafa6,True,False,"c clifton, a doan, a elmagarmid, m kantarcioǧlu, g schadow, d suciu, j vaidya","a, c, d, e, g, j, k, m, s, v",True
fp-tax: tree structure based generalized association rule mining,"iko pramudiono, masaru kitsuregawa",2004,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,5390972920f70186a0dfafab,True,False,"m kitsuregawa, i pramudiono","i, k, m, p",True
discovering spatial patterns accurately with effective noise removal,"yu qian, kang zhang",2004,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,5390972920f70186a0dfafa9,True,False,"y qian, k zhang","k, q, y, z",True
diagonally subgraphs pattern mining,"moti cohen, ehud gudes",2004,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,5390972920f70186a0dfafaa,True,False,"m cohen, e gudes","c, e, g, m",True
mining association rules with non-uniform privacy concerns,"yi xia, yirong yang, yun chi",2004,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,5390972920f70186a0dfafa7,True,False,"y chi, y xia, y yang","c, x, y",True
mining complex matchings across web query interfaces,"bin he, kevin chen-chuan chang, jiawei han",2004,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,5390972920f70186a0dfafa4,True,False,"k chang, j han, b he","b, c, h, j, k",True
